Product Name,Product Price,Product Rate,Product Brand Name,Product Model Name,Product Size,product color,Product RAM Size,Product Harddisk Size
لاب توب لينوفو V15 G2 - Ryzen 5 5500U 6-كور،8 جيجا رام، 256 جيجا SSD منفذ PCIE الذاكرة المستديمة، AMD راديون مدمجة، 15.6 بوصة، FHDعالية الدقة بالكامل (1920x1080) TN 250nits مضادة للتوهج، دوس-اسود,"17,469.‎","['3.1 من 5 نجوم', '3.1 من 5 نجوم']",لينوفو,لينوفو V15 G2 5500U 8G 256G,"15,6 بوصة",أسود,8 غيغابايت,256 غيغابايت
لابتوب ايسر اسباير 7 بشاشة 15.6 بوصة FHD IPS ومعالج انتل كور i5-1240P جيل 12 وجيفورس RTX 3050 ،DDR4 64 جيجا، NVMe SSD 2 تيرا، كيبورد باضاءة خلفية، USB-C، واي فاي 6، بلوتوث، كاميرا ويب، ويندوز 11 برو,"55,999.‎",[],ايسر,اسباير 7,"15,6 بوصة",أسود فحمي,16 غيغابايت,1 تيرا بايت
لاب توب ديل فوسترو 3520، معالج انتل كور i7-1255U، ذاكرة رام بسعة 8 جيجابايت وهارد SSD 512 جيجابايت، انفيديا جيفورس MX550 وكارت شاشة GDDR6 سعة 2 15.6 بوصة FHD 1920×1080، أسود كربوني، يوبونتو,"35,525.‎",[],ديل,فوسترو 3520 i7-1255U 16G 512G MX550 UBUNTU,15.6,اسود كربوني,16 غيغابايت,512 غيغابايت
وحدة المعالجة المركزية من اسوس فيفو بوك جو 14: ذاكرة رام 4 جيجابايت من سيليرون® N4020، الشاشة: 35.56 سم HD 16:9 60Hz 128 جيجابايت eMMC عالي الدقة، ويندوز 11، كيبورد إنجليزي (E1400MA-BV1182W),"7,999.‎","['2.9 من 5 نجوم', '2.9 من 5 نجوم']",اسس,اسس فيفو بوك جو 14,14,أسود,4 غيغابايت,128 غيغابايت
لاب توب فيفو بوك جو 15 من اسوس، بشاشة اوليد، وحدة معالجة مركزية: R5-7520U، ذاكرة رام 8 جيجابايت، الشاشة: شاشة او ال اي دي FHD 15.6 بوصة 16:9 60 هرتز، هارد تخزين خارجي SSD 512 جيجا بايت، ويندوز 11,"21,999.‎",[],اسس,اسس فيفو بوك جو 15 OLED E1504FA-OLED005W - AMD رايزن 5-7520U - 8 جيجابايت - 512 جيجابايت - بطاقة رسومات AMD راديون™ - شاشة 15.6 بوصة FHD OLED ويندوز 11 اخضر رمادي   عرض المزيد,"15,6 بوصة",اخضر رمادي,8 غيغابايت,512 غيغابايت
لاب توب اسوس تي يو اف للألعاب F15 وحدة المعالجة المركزية i7-12700H ذاكرة رام 16 جيجابايت بطاقة رسومات RTX™ 4060 ذاكرة فيديو رام 8 جيجا GDDR6 الشاشة لاب توب بشاشة 15.6 بوصة FHD/169/144 ويندوز 11 Home .,"61,999.‎",[],اسس,FX507ZV4-LP007W,"15,6 بوصة",جيجر جراي,16 غيغابايت,512 غيغابايت
لاب توب ديل فوسترو 3520 - معالج انتل كور12 i7-1255U ذاكرة 16 جيجا، 512 جيجا اس اس دي، نفيديا جيفورس MX550 مع رسومات 2 جيجا GDDR6، شاشة 15.6 بوصة فل اتشدي (1920 × 1080) ، أوبونتو - أسود كربوني,"36,999.‎",[],ديل,فوسترو 3520 i7-1255U 16G 512G MX550 UBU,15.6,اسود كربوني,16 غيغابايت,512 غيغابايت
اسوس فيفو بوك 16، وحدة المعالجة المركزية: i7-13700H، ذاكرة رام 8 جيجابايت، الشاشة: 16.0 بوصة، نوع منظومة العرض المرئي الموسّع العالي 16:10 60 هرتز، وسيط تخزين اس اس دي 512 جيجا، ويندوز 11,"31,999.‎",[],اسس,اسس فيفو بوك 16 X1605VA-MB007W انتل كور I7-13700H 512GB SSD 8GB RAM انتل الترا اتش دي جرافيكس 16 انش WUXGA ويندوز 11   عرض المزيد,16 بوصة,اندي بلاك,8 غيغابايت,512 غيغابايت
لاب توب لينوفو ايديا باد للالعاب مع ماوس RGB 3 15IAH7 انتل كور i7-12650H الجيل 12 وRAM 16GB وSSD 512GB وانفيديا RTX 3060 6GB GDDR6 وشاشة 15.6 بوصة FHD1920×1080 IPS 120 هرتز واضاءة خلفية 4-Z RGB,"10,024.","['3.0 من 5 نجوم', '3.0 من 5 نجوم']",لينوفو,ايديا باد للالعاب 3 15IAH7 - 82S9010MAK,"15,6 بوصة",اونيكس جراي,16 غيغابايت,512 غيغابايت
لاب توب ألعاب ديل G15 5520 انتل كورi7 الجيل 12 14 نواة 32جيجا DDR5 4800 ميجاهرتز Ram 1 تيرابايت SSDرسومات جي فورسRTX 3060 GDDR6 حجم 15.6 بوصة FHD (1920X1080) كيبورد بإضاءة خلفية ويندوز 11,"83,837.‎",[],ديل,ديل G15 5520 جيمنج,"15,6 بوصة",دارك شادو جراي,32 غيغابايت,1 تيرا بايت
لاب توب لينوفو L13 يوجا G2، انتل كور 2n1-i5‏،‏ ذاكرة رام‏ 16 جيجا، هارد 512 جيجا SSD‏، كارت شاشة انتل ايرس Xe،‏FHD‏ 10 (1920×1080)‏IPS 300 نت متعددة اللمس، بصمة، ويندوز 10 برو وقلم ثينك باد برو,"41,696.‎","['2.8 من 5 نجوم', '2.8 من 5 نجوم']",لينوفو,ثينك باد L13 يوجا الجيل الثاني - 20VLS20600,"13,3 بوصة",أسود,16 غيغابايت,512 غيغابايت
لابتوب ليجن برو 5 - كور i7 -13700HX 16 l من لينوفو، شريحة الذكاء الاصطناعي: LA1، رام DDR5 16 جيجا، SSD 1 تيرا، WQXGA 16 بوصة (2560 × 1600) IPS 500 شمعة و100% اس ار جي بي و240 هرتز، 4-Z RGB,"101,303.‎",[],لينوفو,ليجن برو 5 16IRX8,16 بوصة,اونيكس جراي,16 غيغابايت,1 تيرا بايت
لاب توب العاب لينوفو ليجن 5 15ACH6 رايزن 5 5600H 6 نوى رام 16 جيجا SSD 512 جيجا رسومات انفيديا جي فورس RTX 3050 Ti 4GB GDDR6 شاشة 15.6 بوصة FHD 120Hz(1920x1080) IPS كيبورد باضاءة خلفية ويندوز 11 AMD,"43,984.‎","['3.0 من 5 نجوم', '3.0 من 5 نجوم']",لينوفو,ليجن,"15,6 بوصة",فانتوم بلو (الجزء العلوي)، أسود شادو (الجزء السفلي),16 غيغابايت,512 غيغابايت
لاب توب ديل فوسترو 3520، انتل كور i7-1255U جيل 12 10 نوى وRAM 8GB وSSD 512GB، انفيديا جيفورس MX550 وGDDR6 2GB، شاشة ضد الوهج 15.6 بوصة FHD )(1920×1080 و120Hz و250 وحدة مضيئة/بكسل، اوبنتو، أسود كربون,"30,395.‎",[],ديل,فوسترو 3520 i7-1255U 8G 512G MX550 UBUNTU,15.6,اسود كربوني,8 غيغابايت,512 غيغابايت
لاب توب اسوس زين بوك S13 OLED، وحدة المعالجة المركزية: i7-1355U، ذاكرة رام 16 جيجابايت، الشاشة: شاشة OLED 13.3 بوصة 2.8K 16:10 60 هرتز، هارد SSD 512 جيجا، ويندوز 11 (UX5304VA-OLED517W),"51,999.‎",[],اسس,اسس زين بوك اس 13 OLED,16 بوصة,رمادي بازلت,16 غيغابايت,512 غيغابايت
لاب توب اتش بي انفي X360 2-IN-1 14-ES0013DX، انتل كور i5-1335U الجيل 13 عشاري النواة، 8 جيجابايت، هارد SSD 512 جيجبايت، كارت الشاشة انتل ايريس Xe، شاشة لمس مولي تاتش 35.5 سم FHD (1920x1080، ويندوز 11,"47,149.‎","['3.1 من 5 نجوم', '3.1 من 5 نجوم']",اتش بي,7H9Y4UA,14 بوصة,فضي طبيعي,8 غيغابايت,512 غيغابايت
لاب توب V15 من لينوفو انتل كور 10110u i3 ذاكرة رام 8 جيجا هارد HDD 1 تيرابايت كارت شاشة انتل UHD 15 شاشة 15.6 بوصة عالية الدقة HD (1366 × 768) 220 تي ان 220nits مضادة للتوهج دوس رمادي ايرون DOS,"20,079.‎",[],لينوفو,V15 i3-10110U 8G 1T,"15,6 بوصة",رمادي,8 غيغابايت,1 تيرا بايت
لاب توب ديل G15-5511 للالعاب، معالج انتل كور جيل11-i5 11260H سداسي النواة ذاكرة RAM‏ 16 جيجا هارد SSD 512 جيجا، انفيديا جيفورس RTX3050 4 جيجا GDDR6 15.6 بوصة 120هرتز كيبورد باضاءة خلفية Ubuntu رمادي,"58,063.‎",[],ديل,G15-5511 I5-11260H 16G 512G RTX3050 UBU,"15,6 بوصة",رمادي شادو,16 غيغابايت,512 غيغابايت
لاب توب تاف جيمينج A15 من اسوس، وحدة معالجة: R7-7735HS، ذاكرة رام 16 جيجابايت، بطاقة رسومات: RTX™ 4050، ذاكرة فيديو رام: 8 جيجا GDDR6، الشاشة: 15.6 بوصة FHD/16:9/144 هرتز/SSD 512 جيجا، ويندوز 11،,"55,999.‎",[],اسس,FA507NU-LP045W,"15,6 بوصة",جيجر جراي,16 غيغابايت,512 غيغابايت
لاب توب ديل G15-5511 للالعاب، انتل كور جيل11-i5 11260H ستة نواة، RAM‏ 8 جيجابايت هارد SSD 512 جيجا، انفيديا جيفورس RTX3050 جيجا 4، GDDR6 15.6 بوصة، 120هرتز، كيبورد باضاءة خلفية، ويندوز 10، رمادي,"50,500.‎",[],ديل,G15-5511 I511260h8g512g3050ub,"15,6 بوصة",دارك شادو جراي,8 غيغابايت,512 غيغابايت
لاب توب اتش بي 15-جي بي - رايزن 3 3250U، رام 8 جيجا، هارد HDD 1 تيرابايت، بطاقة رسومات AMD راديون، شاشة HD عالية الدقة 15.6 بوصة (768×1366) حواف دقيقة مضادة للتوهج 220 وحدة مضيئة، دوس-اسود، DOS,"17,852.‎",[],ديل,15GW3250U8G1T,"15,6 بوصة",أسود,8 غيغابايت,1 تيرا بايت
"لاب توب لينوفو ايديا باد فلكس 5 موديل 14ALC05، شاشة 14.0 بوصة FHD GL 250 N MT N G، لون جرافيت رمادي رايزين 7_5700 U 1.8G 8C ميجابايت، 0,8 جيجابايت (8×8 جيجابايت × 16) رامات DDR4 3200","27,500.‎",[],لينوفو,82 اتش يو 00 ايه كيو اي دي,"15,6 بوصة",رمادي,8 غيغابايت,512 غيغابايت
لاب توب ايديا باد سليم 3 15IAH8 من لينوفو انتل i5-12450H ثماني النواة وDDR5 8GB 4800-512GB SSD NVME وبطاقة رسومات انتل UHD وشاشة 15.6 FHD 300nits وويندوز 11- لاب توب لينوفو 15.6 بوصة ويندوز 11 Home,"29,160.‎",[],لينوفو,ايديا باد سليم 3 15IAH8 / رقم القطعة: 83ER007YED,15.6,أحمر,8 غيغابايت,512 غيغابايت
لاب توب لينوفو V15 G2 - Ryzen 5 5500U 6-كور،8 جيجا رام، 256 جيجا SSD منفذ PCIE الذاكرة المستديمة، AMD راديون مدمجة، 15.6 بوصة، FHDعالية الدقة بالكامل (1920x1080) TN 250nits مضادة للتوهج، دوس-اسود,"17,469.‎","['3.1 من 5 نجوم', '3.1 من 5 نجوم']",لينوفو,لينوفو V15 G2 5500U 8G 256G,"15,6 بوصة",أسود,8 غيغابايت,256 غيغابايت
لابتوب ايسر اسباير 7 بشاشة 15.6 بوصة FHD IPS ومعالج انتل كور i5-1240P جيل 12 وجيفورس RTX 3050 ،DDR4 64 جيجا، NVMe SSD 2 تيرا، كيبورد باضاءة خلفية، USB-C، واي فاي 6، بلوتوث، كاميرا ويب، ويندوز 11 برو,"55,999.‎",[],ايسر,اسباير 7,"15,6 بوصة",أسود فحمي,16 غيغابايت,1 تيرا بايت
لاب توب ديل فوسترو 3520، معالج انتل كور i7-1255U، ذاكرة رام بسعة 8 جيجابايت وهارد SSD 512 جيجابايت، انفيديا جيفورس MX550 وكارت شاشة GDDR6 سعة 2 15.6 بوصة FHD 1920×1080، أسود كربوني، يوبونتو,"35,525.‎",[],ديل,فوسترو 3520 i7-1255U 16G 512G MX550 UBUNTU,15.6,اسود كربوني,16 غيغابايت,512 غيغابايت
